Order Key,City Key,Customer Key,Stock Item Key,Order Date Key,Picked Date Key,Salesperson Key,Picker Key,WWI Order ID,WWI Backorder ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Total Including Tax,Lineage Key
1,69644,0,153,01-01-2013,01-01-2013,15,0,1,45,Ride on toy sedan car (Black) 1/12 scale,Each,10,230,15,2300,345,2645,9
2,47692,0,170,01-01-2013,01-01-2013,6,0,2,46,Developer joke mug - old C developers never die (White),Each,9,13,15,117,17.55,134.55,9
3,47692,0,210,01-01-2013,01-01-2013,6,0,2,46,USB food flash drive - chocolate bar,Each,9,32,15,288,43.2,331.2,9
4,68504,105,106,01-01-2013,01-01-2013,4,0,3,47,Superhero action jacket (Blue) XXL,Each,3,30,15,90,13.5,103.5,9
5,70644,57,14,01-01-2013,01-01-2013,19,11,4,34,Permanent marker black 5mm nib (Black) 5mm,Each,96,2.7,15,259.2,38.88,298.08,9
6,70644,57,90,01-01-2013,01-01-2013,19,11,4,34,Furry gorilla with big eyes slippers (Black) S,Each,5,32,15,160,24,184,9
7,70644,57,170,01-01-2013,01-01-2013,19,11,4,34,Developer joke mug - old C developers never die (White),Each,2,13,15,26,3.9,29.9,9
8,56153,0,92,01-01-2013,01-01-2013,11,0,5,48,Plush shark slippers (Gray) L,Each,4,32,15,128,19.2,147.2,9
9,56153,0,99,01-01-2013,01-01-2013,11,0,5,48,Dinosaur battery-powered slippers (Green) XL,Each,3,32,15,96,14.4,110.4,9
10,56153,0,65,01-01-2013,01-01-2013,11,0,5,48,Large sized bubblewrap roll 50m,Each,20,24,15,480,72,552,9
11,50969,0,70,01-01-2013,01-01-2013,8,11,6,45,Pack of 12 action figures (variety),Packet,4,16,15,64,9.6,73.6,9
12,50969,0,180,01-01-2013,01-01-2013,8,11,6,45,"Developer joke mug - (hip, hip, array) (White)",Each,6,13,15,78,11.7,89.7,9
13,50969,0,94,01-01-2013,01-01-2013,8,11,6,45,Plush shark slippers (Gray) S,Each,9,32,15,288,43.2,331.2,9
14,58731,376,181,01-01-2013,01-01-2013,6,0,7,49,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,9,13,15,117,17.55,134.55,9
15,58731,376,36,01-01-2013,01-01-2013,6,0,7,49,Shipping carton (Brown) 305x305x305mm,Each,75,3.5,15,262.5,39.38,301.88,9
16,58731,376,211,01-01-2013,01-01-2013,6,0,7,49,USB food flash drive - banana,Each,6,32,15,192,28.8,220.8,9
17,58731,376,88,01-01-2013,01-01-2013,6,0,7,49,Furry gorilla with big eyes slippers (Black) L,Each,1,32,15,32,4.8,36.8,9
18,39209,0,211,01-01-2013,01-01-2013,4,0,8,50,USB food flash drive - banana,Each,4,32,15,128,19.2,147.2,9
19,39209,0,188,01-01-2013,01-01-2013,4,0,8,50,Developer joke mug - that's a hardware problem (White),Each,9,13,15,117,17.55,134.55,9
20,39209,0,170,01-01-2013,01-01-2013,4,0,8,50,Developer joke mug - old C developers never die (White),Each,1,13,15,13,1.95,14.95,9
21,57498,77,86,01-01-2013,01-01-2013,4,0,9,51,Animal with big feet slippers (Brown) S,Each,4,32,15,128,19.2,147.2,9
22,57498,77,162,01-01-2013,01-01-2013,4,0,9,51,RC toy sedan car with remote control (Black) 1/50 scale,Each,2,25,15,50,7.5,57.5,9
23,50845,191,186,01-01-2013,01-01-2013,9,0,10,52,Developer joke mug - fun was unexpected at this time (White),Each,3,13,15,39,5.85,44.85,9
24,50845,191,182,01-01-2013,01-01-2013,9,0,10,52,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13,15,65,9.75,74.75,9
25,48409,387,175,01-01-2013,01-01-2013,11,0,11,53,Developer joke mug - there are 10 types of people in the world (Black),Each,1,13,15,13,1.95,14.95,9
26,57489,330,176,01-01-2013,01-01-2013,7,0,12,54,Developer joke mug - there are 10 types of people in the world (White),Each,8,13,15,104,15.6,119.6,9
27,57489,330,158,01-01-2013,01-01-2013,7,0,12,54,RC toy sedan car with remote control (Yellow) 1/50 scale,Each,5,25,15,125,18.75,143.75,9
28,40608,274,147,01-01-2013,01-01-2013,8,0,13,55,Ride on vintage American toy coupe (Red) 1/12 scale,Each,8,285,15,2280,342,2622,9
29,40608,274,64,01-01-2013,01-01-2013,8,0,13,55,10 mm Double sided bubble wrap 10m,Each,10,15,15,150,22.5,172.5,9
30,49253,0,88,01-01-2013,01-01-2013,6,0,14,56,Furry gorilla with big eyes slippers (Black) L,Each,5,32,15,160,24,184,9
31,49253,0,57,01-01-2013,01-01-2013,6,0,14,56,32 mm Double sided bubble wrap 20m,Each,10,37,15,370,55.5,425.5,9
32,49253,0,109,01-01-2013,01-01-2013,6,0,14,56,Superhero action jacket (Blue) M,Each,4,30,15,120,18,138,9
33,69490,0,10,01-01-2013,01-01-2013,11,11,15,57,Packing knife with metal insert blade (Yellow) 18mm,Each,10,2.4,15,24,3.6,27.6,9
34,69490,0,112,01-01-2013,01-01-2013,11,11,15,57,Superhero action jacket (Blue) XXS,Each,6,25,15,150,22.5,172.5,9
35,37955,215,105,01-01-2013,01-01-2013,15,0,16,57,Superhero action jacket (Blue) 3XL,Each,2,34,15,68,10.2,78.2,9
36,62837,0,173,01-01-2013,01-01-2013,6,0,17,58,Developer joke mug - a foo walks into a bar (Black),Each,8,13,15,104,15.6,119.6,9
37,62837,0,87,01-01-2013,01-01-2013,6,0,17,58,Furry gorilla with big eyes slippers (Black) XL,Each,10,32,15,320,48,368,9
38,69146,224,58,01-01-2013,02-01-2013,15,20,18,58,32 mm Double sided bubble wrap 10m,Each,100,22,15,2200,330,2530,9
