Purchase Key,Date Key,Supplier Key,Stock Item Key,WWI Purchase Order ID,Ordered Outers,Ordered Quantity,Received Outers,Package,Is Order Finalized,Lineage Key
197,05-01-2013 00:00,20,16,23,2,20,2,Each,TRUE,10
222,09-01-2013 00:00,20,16,34,2,20,2,Each,TRUE,10
312,29-01-2013 00:00,20,16,66,2,20,2,Each,TRUE,10
1601,31-08-2013 00:00,20,16,410,2,20,2,Each,TRUE,10
2282,21-12-2013 00:00,20,16,590,2,20,2,Each,TRUE,10
2494,25-01-2014 00:00,20,16,646,2,20,2,Each,TRUE,10
2713,01-03-2014 00:00,20,16,705,2,20,2,Each,TRUE,10
4148,04-10-2014 00:00,20,16,1060,2,20,2,Each,TRUE,10
5029,07-02-2015 00:00,20,16,1271,2,20,2,Each,TRUE,10
6201,25-07-2015 00:00,20,16,1553,2,20,2,Each,TRUE,10
440,23-02-2013 00:00,20,16,97,10,100,10,Each,TRUE,10
2453,18-01-2014 00:00,20,16,635,10,100,10,Each,TRUE,10
3055,26-04-2014 00:00,20,16,798,10,100,10,Each,TRUE,10
3101,03-05-2014 00:00,20,16,810,10,100,10,Each,TRUE,10
4000,13-09-2014 00:00,20,16,1025,10,100,10,Each,TRUE,10
5866,06-06-2015 00:00,20,16,1471,10,100,10,Each,TRUE,10
7173,12-12-2015 00:00,20,16,1787,10,100,10,Each,TRUE,10
7271,26-12-2015 00:00,20,16,1811,10,100,10,Each,TRUE,10
7678,20-02-2016 00:00,20,16,1910,10,100,10,Each,TRUE,10
398,15-02-2013 00:00,20,16,84,8,80,8,Each,TRUE,10
1814,05-10-2013 00:00,20,16,466,8,80,8,Each,TRUE,10
1948,26-10-2013 00:00,20,16,501,8,80,8,Each,TRUE,10
4642,13-12-2014 00:00,20,16,1179,8,80,8,Each,TRUE,10
4931,24-01-2015 00:00,20,16,1248,8,80,8,Each,TRUE,10
5079,14-02-2015 00:00,20,16,1283,8,80,8,Each,TRUE,10
6300,08-08-2015 00:00,20,16,1576,8,80,8,Each,TRUE,10
6834,24-10-2015 00:00,20,16,1705,8,80,8,Each,TRUE,10
6884,31-10-2015 00:00,20,16,1717,8,80,8,Each,TRUE,10
214,07-01-2013 00:00,20,16,28,14,140,14,Each,TRUE,10
218,08-01-2013 00:00,20,16,31,4,40,4,Each,TRUE,10
230,10-01-2013 00:00,20,16,38,3,30,3,Each,TRUE,10
240,12-01-2013 00:00,20,16,42,9,90,9,Each,TRUE,10
246,14-01-2013 00:00,20,16,45,1,10,1,Each,TRUE,10
305,28-01-2013 00:00,20,16,64,6,60,6,Each,TRUE,10
384,13-02-2013 00:00,20,16,80,7,70,7,Each,TRUE,10
391,14-02-2013 00:00,20,16,82,12,120,12,Each,TRUE,10
408,18-02-2013 00:00,20,16,87,13,130,13,Each,TRUE,10
415,19-02-2013 00:00,20,16,89,15,150,15,Each,TRUE,10
422,20-02-2013 00:00,20,16,91,19,190,19,Each,TRUE,10
429,21-02-2013 00:00,20,16,93,15,150,15,Each,TRUE,10
436,22-02-2013 00:00,20,16,95,24,240,24,Each,TRUE,10
447,25-02-2013 00:00,20,16,99,26,260,26,Each,TRUE,10
454,26-02-2013 00:00,20,16,101,22,220,22,Each,TRUE,10
461,27-02-2013 00:00,20,16,103,26,260,26,Each,TRUE,10
468,28-02-2013 00:00,20,16,105,22,220,22,Each,TRUE,10
475,01-03-2013 00:00,20,16,107,23,230,23,Each,TRUE,10
487,04-03-2013 00:00,20,16,110,28,280,28,Each,TRUE,10
494,05-03-2013 00:00,20,16,112,24,240,24,Each,TRUE,10
501,06-03-2013 00:00,20,16,114,28,280,28,Each,TRUE,10
508,07-03-2013 00:00,20,16,116,29,290,29,Each,TRUE,10
515,08-03-2013 00:00,20,16,118,32,320,32,Each,TRUE,10
523,11-03-2013 00:00,20,16,121,32,320,32,Each,TRUE,10
530,12-03-2013 00:00,20,16,123,28,280,28,Each,TRUE,10
537,13-03-2013 00:00,20,16,125,39,390,39,Each,TRUE,10
544,14-03-2013 00:00,20,16,127,35,350,35,Each,TRUE,10
552,15-03-2013 00:00,20,16,129,31,310,31,Each,TRUE,10
564,18-03-2013 00:00,20,16,132,30,300,30,Each,TRUE,10
572,19-03-2013 00:00,20,16,134,28,280,28,Each,TRUE,10
580,20-03-2013 00:00,20,16,136,24,240,24,Each,TRUE,10
588,21-03-2013 00:00,20,16,138,38,380,38,Each,TRUE,10
596,22-03-2013 00:00,20,16,140,38,380,38,Each,TRUE,10
597,23-03-2013 00:00,20,16,141,1,10,1,Each,TRUE,10
605,25-03-2013 00:00,20,16,143,39,390,39,Each,TRUE,10
613,26-03-2013 00:00,20,16,145,35,350,35,Each,TRUE,10
621,27-03-2013 00:00,20,16,147,42,420,42,Each,TRUE,10
629,28-03-2013 00:00,20,16,149,38,380,38,Each,TRUE,10
