Date,DayNumber,Day,Month,ShortMonth,CalendarMonthNumber,CalendarMonthLabel,CalendarYear,CalendarYearLabel,FiscalMonthNumber,FiscalMonthLabel,FiscalYear,FiscalYearLabel,ISOWeekNumber
20-11-2009 00:00,20,20,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
21-11-2009 00:00,21,21,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
22-11-2009 00:00,22,22,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
16-11-2009 00:00,16,16,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
17-11-2009 00:00,17,17,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
18-11-2009 00:00,18,18,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
19-11-2009 00:00,19,19,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,47
23-11-2009 00:00,23,23,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
24-11-2009 00:00,24,24,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
25-11-2009 00:00,25,25,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
26-11-2009 00:00,26,26,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
27-11-2009 00:00,27,27,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
28-11-2009 00:00,28,28,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
29-11-2009 00:00,29,29,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,48
01-11-2009 00:00,1,1,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,44
02-11-2009 00:00,2,2,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
03-11-2009 00:00,3,3,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
04-11-2009 00:00,4,4,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
05-11-2009 00:00,5,5,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
06-11-2009 00:00,6,6,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
07-11-2009 00:00,7,7,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
08-11-2009 00:00,8,8,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,45
09-11-2009 00:00,9,9,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
10-11-2009 00:00,10,10,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
11-11-2009 00:00,11,11,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
12-11-2009 00:00,12,12,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
13-11-2009 00:00,13,13,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
14-11-2009 00:00,14,14,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
15-11-2009 00:00,15,15,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,46
30-11-2009 00:00,30,30,November,Nov,11,CY2009-Nov,2009,CY2009,1,FY2010-Nov,2010,FY2010,49
28-12-2009 00:00,28,28,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,53
29-12-2009 00:00,29,29,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,53
30-12-2009 00:00,30,30,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,53
31-12-2009 00:00,31,31,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,53
26-12-2009 00:00,26,26,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
27-12-2009 00:00,27,27,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
25-12-2009 00:00,25,25,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
24-12-2009 00:00,24,24,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
23-12-2009 00:00,23,23,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
21-12-2009 00:00,21,21,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
22-12-2009 00:00,22,22,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,52
01-12-2009 00:00,1,1,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,49
02-12-2009 00:00,2,2,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,49
03-12-2009 00:00,3,3,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,49
04-12-2009 00:00,4,4,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,49
06-12-2009 00:00,6,6,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,49
05-12-2009 00:00,5,5,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,49
12-12-2009 00:00,12,12,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
13-12-2009 00:00,13,13,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
11-12-2009 00:00,11,11,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
10-12-2009 00:00,10,10,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
09-12-2009 00:00,9,9,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
07-12-2009 00:00,7,7,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
08-12-2009 00:00,8,8,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,50
14-12-2009 00:00,14,14,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
15-12-2009 00:00,15,15,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
16-12-2009 00:00,16,16,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
17-12-2009 00:00,17,17,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
18-12-2009 00:00,18,18,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
20-12-2009 00:00,20,20,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
19-12-2009 00:00,19,19,December,Dec,12,CY2009-Dec,2009,CY2009,2,FY2010-Dec,2010,FY2010,51
01-02-2001 00:00,1,1,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,5
02-02-2001 00:00,2,2,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,5
03-02-2001 00:00,3,3,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,5
04-02-2001 00:00,4,4,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,5
05-02-2001 00:00,5,5,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,6
06-02-2001 00:00,6,6,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,6
07-02-2001 00:00,7,7,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,6
08-02-2001 00:00,8,8,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,6
09-02-2001 00:00,9,9,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,6
10-02-2001 00:00,10,10,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,6
21-02-2001 00:00,21,21,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,8
22-02-2001 00:00,22,22,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,8
23-02-2001 00:00,23,23,February,Feb,2,CY2001-Feb,2001,CY2001,4,FY2001-Feb,2001,FY2001,8
